店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名
築地すし好 新宿東口店,050-5492-0884,,東京都,新宿区歌舞伎町,1-6-1,シロービル1F
信州炉端焼と日本酒の店 串の蔵 新宿東口店,050-5484-5113,,東京都,新宿区新宿,3-34-16,池田プラザビルB1
北海道シントク町 塚田農場 新宿西口店,050-5486-1689,,東京都,新宿区西新宿,1-15-2,第5オムニクスビル3F
黒毛和牛食べ放題 縁(エン) 新宿歌舞伎町店,050-5488-8923,cys@ensyouji.co.jp,東京都,新宿区歌舞伎町,1-11-12,
お肉料理食べ放題 個室居酒屋 隆盛‐Ryusei‐新宿東口店,050-5493-8070,,東京都,新宿区歌舞伎町,1-22-9,ジョイゴールドビル3F
GLASS DANCE 新宿,050-5484-1768,glassdance-shinjuku@diamond-dining.com,東京都,新宿区西新宿,1-26-2,新宿野村ビルB1
北国酒場 んだんだ,050-5492-9376,,東京都,新宿区新宿,3-6-11,庄助ビル2F
牛の達人‐private‐ 新宿本店,050-5485-2898,,東京都,新宿区歌舞伎町,2-45-6,千代田ビル1F
絶品小龍包 満月廬 新宿離宮 (新宿西口),050-5484-9299,,東京都,新宿区西新宿,1-4-15,高松ビル1～4F
甘太郎 新宿歌舞伎町店,050-5492-5372,,東京都,新宿区歌舞伎町,1-15-5,ビッグレモンビル3～4F
釜焼鳥本舗 おやひなや 西新宿店,050-5485-6920,kamayaki.ns@vega.ocn.ne.jp,東京都,新宿区西新宿,1-19-13,青鈴ビル5F
黒毛和牛一頭買い 炭火焼肉 花炎,050-5485-6264,,東京都,新宿区新宿,3-28-7,キーストン4F
刀削麺・火鍋・西安料理 XI’AN(シーアン) 新宿西口店,050-5486-5633,,東京都,新宿区西新宿,1-12-5,新宿三平ビル4F
わらやき屋 四万十川 新宿,050-5487-2998,warayakiya-shimantogawa@diamond-dining.com,東京都,新宿区新宿,3-18-4,セノビル5F
大山鶏と海鮮が旨い個室居酒屋 一兆 新宿西口店,050-5494-6033,,東京都,新宿区西新宿,1-18-5,甲新ビルB1
焼肉どんどん 新宿歌舞伎町店,050-5485-0212,,東京都,新宿区歌舞伎町,1-23-13,下村ビル1F
鮮魚と和牛 個室居酒屋 トロ一(とろいち)新宿本店,050-5434-0268,,東京都,新宿区歌舞伎町,1-18-5,
ラムしゃぶ 金の目 新宿店,050-5492-8822,,東京都,新宿区新宿,3-11-6,エクレ新宿3F
わらやき屋 新宿,050-5486-3723,,東京都,新宿区新宿,3-15-11,アドホック新宿ビル8F
鮨 みやこ,050-5493-7647,,東京都,新宿区西新宿,6-6-2,新宿国際ビルディングB1
新宿 アクアリウムダイニング JeMare ‐ジェマーレ‐,03-6380-3258,,東京都,新宿区新宿,3-10-10,4F
青葉,050-5485-7948,,東京都,新宿区歌舞伎町,1-12-6,歌舞伎町ビルB1
